Type,Fact,Response
Humans,Non-Factual,"**Option I. All humans study.**

This option is not true because Fact 3 states that non-educated humans study, which implies that some humans do not study.

**Option II. Students are humans.**

This option is true because Fact 2 states that some in college are students, and Fact 1 states that all in college are humans.

**Option III. Some in college are not students.**

This option is true because Fact 2 states that some in college are students, which implies that there are some in college who are not students.

Therefore, the correct answers are: **Option II. Students are humans.** and **Option III. Some in college are not students.**"
Humans,Non-Factual,"Option II is true because it is a direct inference from Fact 1.
Option III is true because it is a logical inference from Fact 2.
Option I is false because Fact 3 only states that non-educated humans study, not all humans."
Humans,Non-Factual,"Option I. All humans study. - False
Option II. Students are humans. - True
Option III. Some in college are not students. - True"
Humans,Non-Factual,"Option II and Option III are true.

* Option I. All humans study. 
From Fact 1, we know that all in college are humans. 
From Fact 3, we know that non-educated humans study. 
Since all in college are humans, we can infer that all non-educated humans in college study. However, we do not know if educated humans study, so Option I is not true.

* Option II. Students are humans. 
From Fact 2, we know that some in college are students. 
From Fact 1, we know that all in college are humans. 
So we can infer that some in college who are students are humans. 
Therefore, Option II is true.

* Option III. Some in college are not students. 
From Fact 1, we know that all in college are humans. 
From Fact 2, we know that some in college are students. 
Therefore, we can infer that some in college are not students. 
So Option III is true."
Humans,Non-Factual,"Option I. All humans study is false.
Option II. Students are humans is true.
Option III. Some in college are not students is true."
Humans,Non-Factual,"Option I. All humans study. (False)
Option II. Students are humans. (True)
Option III. Some in college are not students. (True)"
Humans,Non-Factual,"I. All humans study. (False)
II. Students are humans. (True)
III. Some in college are not students. (True)"
Humans,Non-Factual,"Option I is false.
Option II is true.
Option III is true."
Humans,Non-Factual,"Option I. All humans study. (False)
Option II. Students are humans. (True)
Option III. Some in college are not students. (True)"
Humans,Non-Factual,"**Option I. All humans study.**
Fact 1 states that all in college are humans. Fact 3 states that non-educated humans study. Therefore, all humans study. Option I is true.

**Option II. Students are humans.**
Fact 2 states that some in college are students. Fact 1 states that all in college are humans. Therefore, students are humans. Option II is true.

**Option III. Some in college are not students.**
Fact 2 states that some in college are students. This implies that some in college are not students. Option III is true.

Therefore, all three options are true."
Humans,Non-Factual,"Option I. All humans study. 

This option cannot be true because Fact 3 states that ""non-educated humans study,"" but Fact 1 states that ""all in college are humans,"" and Fact 2 states that ""some in college are students."" So some humans in college are not non-educated, and therefore, it cannot be true that all humans study.

Option II. Students are humans. 

This option is true because Fact 2 states that ""some in college are students,"" and Fact 1 states that ""all in college are humans."" Therefore, it can be concluded that students are humans.

Option III. Some in college are not students. 

This option is true because Fact 2 states that ""some in college are students,"" which implies that there are others in college who are not students."
Humans,Non-Factual,Option II. Students are humans.
Humans,Non-Factual,Option II is true.
Humans,Non-Factual,Option II. Students are humans.
Humans,Non-Factual,Option II. Students are humans.
Humans,Non-Factual,"Option II is true. Since all in college are humans and some in college are students, then students must be humans."
Humans,Non-Factual,"Option I. All humans study. is false. 
Option II. Students are humans. is true. 
Option III. Some in college are not students. is true."
Humans,Non-Factual,"Option I. All humans study: False
Option II. Students are humans: True
Option III. Some in college are not students: True"
Humans,Non-Factual,"- **Option I. All humans study.** This option is not necessarily true. From the given facts, we know that non-educated humans study, but we do not know if all humans are non-educated. Therefore, we cannot conclude that all humans study.

- **Option II. Students are humans.** This option is true. All students are humans, as stated in Fact 2.

- **Option III. Some in college are not students.** This option is true. Fact 3 states that non-educated humans study. If there are non-educated humans in college, then some in college are not students."
Humans,Non-Factual,Option II. Students are humans is true.
Humans,Non-Factual,Option II. Students are humans.
Humans,Non-Factual,"Option I. All humans study.  - False
Option II. Students are humans. - True
Option III. Some in college are not students. - True"
Humans,Non-Factual,Option II. Students are humans.
Humans,Non-Factual,"Option I is false, because we cannot conclude that all humans study. 
Option II is true, because we know from Fact 1 that all in college are humans.
Option III is true, because Fact 2 tells us that some in college are students, and therefore, some in college must not be students."
Humans,Non-Factual,Option II: Students are humans.
Humans,Non-Factual,"I. False
II. True
III. True"
Humans,Non-Factual,"**Option II. Students are humans** is true. 
Fact 1 states that all in college are humans, and Fact 2 states that some in college are students. Therefore, it can be concluded that students are humans.

**Option I. All humans study** is false. 
Fact 3 states that non-educated humans study, which implies that not all humans study.

**Option III. Some in college are not students** is true. 
Fact 2 states that some in college are students, which implies that there must be some in college who are not students."
Humans,Non-Factual,"- Option I. All humans study. **False**
- Option II. Students are humans. **True**
- Option III. Some in college are not students. **True**"
Humans,Non-Factual,"- Option I is false. While it is true that all college students are humans, we cannot infer from the given statements that all humans study. 
- Option II is true. The first fact implicitly states that all humans are college students, and the second fact explicitly states that some college students are students. Therefore, we can conclude that students are humans. 
- Option III is true. The second fact states that some in college are students. This means that there must be others in college who are not students."
Humans,Non-Factual,"* Option I. All humans study. 
> This option is false because it is not supported by the given facts.

* Option II. Students are humans. 
> This option is true because Fact 2 states that some in college are students, and Fact 1 states that all in college are humans.

* Option III. Some in college are not students. 
> This option is false because it is not explicitly stated in the given facts."
Humans,Non-Factual,"Option I. All humans study. (False)
Option II. Students are humans. (True)
Option III. Some in college are not students. (True)"
Humans,Non-Factual,"Option I. All humans study is false. 
Option II. Students are humans is true. 
Option III. Some in college are not students is true."
Humans,Non-Factual,"**Option II. Students are humans** is true.
**Option III. Some in college are not students** is true. 

Premise 1 tells us that all in college are humans.
Premise 2 tells us that some in college are students.
Premise 3 tells us that non-educated humans study.

**Option I. All humans study** is false because it is not supported by the premises."
Humans,Non-Factual,"- Option I: All humans study. This option is not true because it cannot be inferred from the given facts. Fact 3 only mentions that non-educated humans study.

- Option II: Students are humans. This option is true because it is a restatement of Fact 2.

- Option III: Some in college are not students. This option is true because it can be inferred from Fact 2. Since only some in college are students, it means that some in college are not students.

Therefore, only Options II and III are true."
Humans,Non-Factual,"- Option I. All humans study. (False. Fact 3 states that non-educated humans study, but Option I states that all humans study.) 
- Option II. Students are humans. (True. Fact 1 states that all in college are humans, and Fact 2 states that some in college are students.)
- Option III. Some in college are not students. (True. Fact 2 states that some in college are students, so it is logical that some in college are not students.)"
